team,season,pos,g,gs,inn,po,a,drs,arm,dpr,rngR,errR,uzr,uzr150,def
angels,1998,LF,2058,1782,15884.0,5328,1456,NA,NA,NA,NA,NA,NA,NA,NA
astros,1998,CF,2039,1782,16184.2,5275,1617,NA,NA,NA,NA,NA,NA,NA,NA
athletics,1998,2B,2136,1782,15774.0,5348,1467,NA,NA,NA,NA,NA,NA,NA,NA
blue_jays,1998,C,2052,1791,16097.0,5374,1416,NA,NA,NA,NA,NA,NA,NA,NA
braves,1998,CF,2127,1782,15825.1,5236,1501,NA,NA,NA,NA,NA,NA,NA,NA
brewers,1998,SS,2198,1782,15961.0,5259,1604,NA,NA,NA,NA,NA,NA,NA,NA
cardinals,1998,SS,2256,1793,16166.1,5359,1601,NA,NA,NA,NA,NA,NA,NA,NA
cubs,1998,SS,2309,1793,16250.2,5425,1478,NA,NA,NA,NA,NA,NA,NA,NA
diamondbacks,1998,C,2107,1782,15755.2,5309,1530,NA,NA,NA,NA,NA,NA,NA,NA
dodgers,1998,OF,2192,1782,15920.2,5147,1530,NA,NA,NA,NA,NA,NA,NA,NA
giants,1998,C,2183,1793,16247.0,5328,1597,NA,NA,NA,NA,NA,NA,NA,NA
indians,1998,OF,2001,1782,16060.0,5343,1546,NA,NA,NA,NA,NA,NA,NA,NA
mariners,1998,1B,2145,1771,15667.2,5224,1411,NA,NA,NA,NA,NA,NA,NA,NA
marlins,1998,2B,2049,1782,15946.1,5338,1588,NA,NA,NA,NA,NA,NA,NA,NA
mets,1998,C,2266,1782,16038.0,5224,1465,NA,NA,NA,NA,NA,NA,NA,NA
nationals,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,1998,1B,2113,1782,15744.2,5134,1566,NA,NA,NA,NA,NA,NA,NA,NA
padres,1998,CF,2195,1782,16001.0,5210,1571,NA,NA,NA,NA,NA,NA,NA,NA
phillies,1998,2B,2019,1782,16093.0,5244,1630,NA,NA,NA,NA,NA,NA,NA,NA
pirates,1998,CF,2065,1793,15939.0,5307,1557,NA,NA,NA,NA,NA,NA,NA,NA
rangers,1998,SS,2023,1782,15744.2,5323,1474,NA,NA,NA,NA,NA,NA,NA,NA
rays,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,1998,CF,2026,1782,15796.0,5289,1464,NA,NA,NA,NA,NA,NA,NA,NA
reds,1998,C,2286,1782,15854.2,5282,1407,NA,NA,NA,NA,NA,NA,NA,NA
rockies,1998,1B,2178,1782,15759.1,5191,1644,NA,NA,NA,NA,NA,NA,NA,NA
royals,1998,CF,2048,1771,15799.2,5290,1517,NA,NA,NA,NA,NA,NA,NA,NA
tigers,1998,CF,1973,1782,15909.2,5312,1660,NA,NA,NA,NA,NA,NA,NA,NA
twins,1998,LF,2020,1782,15924.1,5434,1430,NA,NA,NA,NA,NA,NA,NA,NA
white_sox,1998,2B,2042,1793,15825.1,5374,1529,NA,NA,NA,NA,NA,NA,NA,NA
yankees,1998,C,2004,1782,16023.1,5327,1471,NA,NA,NA,NA,NA,NA,NA,NA
angels,1999,CF,1976,1782,15744.2,5390,1528,NA,NA,NA,NA,NA,NA,NA,NA
astros,1999,3B,2207,1780,16045.1,5223,1595,NA,NA,NA,NA,NA,NA,NA,NA
athletics,1999,1B,2278,1782,15821.2,5309,1519,NA,NA,NA,NA,NA,NA,NA,NA
blue_jays,1999,SS,1900,1782,15829.0,5365,1537,NA,NA,NA,NA,NA,NA,NA,NA
braves,1999,1B,2180,1782,16181.0,5431,1446,NA,NA,NA,NA,NA,NA,NA,NA
brewers,1999,SS,2115,1771,15869.1,5348,1503,NA,NA,NA,NA,NA,NA,NA,NA
cardinals,1999,2B,2250,1771,15898.2,5346,1472,NA,NA,NA,NA,NA,NA,NA,NA
cubs,1999,C,2204,1782,15737.1,5343,1475,NA,NA,NA,NA,NA,NA,NA,NA
diamondbacks,1999,C,2035,1782,16140.2,5411,1404,NA,NA,NA,NA,NA,NA,NA,NA
dodgers,1999,2B,2075,1782,15983.0,5246,1530,NA,NA,NA,NA,NA,NA,NA,NA
giants,1999,C,2128,1782,16019.2,5352,1455,NA,NA,NA,NA,NA,NA,NA,NA
indians,1999,2B,2042,1782,15953.2,5229,1561,NA,NA,NA,NA,NA,NA,NA,NA
mariners,1999,1B,2179,1782,15770.1,5301,1529,NA,NA,NA,NA,NA,NA,NA,NA
marlins,1999,C,2139,1782,15792.1,5358,1533,NA,NA,NA,NA,NA,NA,NA,NA
mets,1999,2B,2340,1793,16023.1,5256,1450,NA,NA,NA,NA,NA,NA,NA,NA
nationals,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,1999,3B,2017,1782,15785.0,5192,1604,NA,NA,NA,NA,NA,NA,NA,NA
padres,1999,CF,2298,1782,15623.2,5204,1488,NA,NA,NA,NA,NA,NA,NA,NA
phillies,1999,2B,2094,1782,15821.2,5305,1474,NA,NA,NA,NA,NA,NA,NA,NA
pirates,1999,OF,2091,1771,15766.2,5177,1568,NA,NA,NA,NA,NA,NA,NA,NA
rangers,1999,SS,1927,1782,15799.2,5255,1567,NA,NA,NA,NA,NA,NA,NA,NA
rays,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,1999,1B,1940,1782,15803.1,5257,1397,NA,NA,NA,NA,NA,NA,NA,NA
reds,1999,2B,2236,1793,16082.0,5465,1414,NA,NA,NA,NA,NA,NA,NA,NA
rockies,1999,C,2094,1782,15719.0,5199,1592,NA,NA,NA,NA,NA,NA,NA,NA
royals,1999,CF,1917,1771,15627.1,5315,1614,NA,NA,NA,NA,NA,NA,NA,NA
tigers,1999,1B,2027,1771,15631.0,5253,1474,NA,NA,NA,NA,NA,NA,NA,NA
twins,1999,LF,2204,1771,15656.2,5296,1486,NA,NA,NA,NA,NA,NA,NA,NA
white_sox,1999,C,2067,1780,15821.2,5440,1427,NA,NA,NA,NA,NA,NA,NA,NA
yankees,1999,C,1968,1782,15836.1,5265,1411,NA,NA,NA,NA,NA,NA,NA,NA
angels,2000,1B,2016,1782,15928.0,5502,1590,NA,NA,NA,NA,NA,NA,NA,NA
astros,2000,LF,2211,1779,15814.1,5300,1418,NA,NA,NA,NA,NA,NA,NA,NA
athletics,2000,2B,2189,1771,15788.2,5247,1557,NA,NA,NA,NA,NA,NA,NA,NA
blue_jays,2000,1B,1884,1782,15810.2,5334,1553,NA,NA,NA,NA,NA,NA,NA,NA
braves,2000,2B,2054,1782,15843.2,5291,1540,NA,NA,NA,NA,NA,NA,NA,NA
brewers,2000,C,2006,1793,16129.2,5375,1592,NA,NA,NA,NA,NA,NA,NA,NA
cardinals,2000,1B,2238,1775,15770.1,5290,1386,NA,NA,NA,NA,NA,NA,NA,NA
cubs,2000,2B,2145,1782,16001.1,5328,1428,NA,NA,NA,NA,NA,NA,NA,NA
diamondbacks,2000,C,2056,1782,15880.1,5318,1370,NA,NA,NA,NA,NA,NA,NA,NA
dodgers,2000,LF,2083,1782,15895.0,5155,1515,NA,NA,NA,NA,NA,NA,NA,NA
giants,2000,C,2330,1782,15887.2,5366,1442,NA,NA,NA,NA,NA,NA,NA,NA
indians,2000,1B,2063,1782,15865.2,5211,1512,NA,NA,NA,NA,NA,NA,NA,NA
mariners,2000,LF,2218,1782,15858.1,5359,1469,NA,NA,NA,NA,NA,NA,NA,NA
marlins,2000,CF,2112,1771,15726.1,5233,1543,NA,NA,NA,NA,NA,NA,NA,NA
mets,2000,SS,2383,1782,15950.0,5276,1413,NA,NA,NA,NA,NA,NA,NA,NA
nationals,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orioles,2000,LF,1963,1782,15766.2,5380,1447,NA,NA,NA,NA,NA,NA,NA,NA
padres,2000,2B,2187,1782,16052.2,5335,1529,NA,NA,NA,NA,NA,NA,NA,NA
phillies,2000,2B,1997,1782,15825.1,5355,1362,NA,NA,NA,NA,NA,NA,NA,NA
pirates,2000,CF,2081,1784,15939.0,5225,1649,NA,NA,NA,NA,NA,NA,NA,NA
rangers,2000,1B,2089,1782,15719.0,5385,1442,NA,NA,NA,NA,NA,NA,NA,NA
rays,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
red_sox,2000,1B,2108,1780,15979.1,5268,1514,NA,NA,NA,NA,NA,NA,NA,NA
reds,2000,2B,2278,1793,16019.2,5395,1487,NA,NA,NA,NA,NA,NA,NA,NA
rockies,2000,LF,2093,1782,15730.0,5187,1584,NA,NA,NA,NA,NA,NA,NA,NA
royals,2000,C,1964,1782,15832.2,5317,1650,NA,NA,NA,NA,NA,NA,NA,NA
tigers,2000,1B,2163,1781,15876.2,5331,1600,NA,NA,NA,NA,NA,NA,NA,NA
twins,2000,C,2073,1782,15759.1,5351,1397,NA,NA,NA,NA,NA,NA,NA,NA
white_sox,2000,C,2037,1782,15953.2,5342,1561,NA,NA,NA,NA,NA,NA,NA,NA
yankees,2000,2B,2123,1771,15667.2,5318,1305,NA,NA,NA,NA,NA,NA,NA,NA
angels,2001,CF,2018,1782,15814.1,5336,1522,NA,NA,NA,NA,NA,NA,NA,NA
