team,season,win_rate,WSWin
angels,1998,0.5246913580246914,N
diamondbacks,1998,0.4012345679012346,N
braves,1998,0.654320987654321,N
orioles,1998,0.4876543209876543,N
red_sox,1998,0.5679012345679012,N
white_sox,1998,0.49079754601226994,N
cubs,1998,0.5521472392638037,N
reds,1998,0.47530864197530864,N
indians,1998,0.5493827160493827,N
rockies,1998,0.47530864197530864,N
tigers,1998,0.4012345679012346,N
marlins,1998,0.3333333333333333,N
astros,1998,0.6296296296296297,N
royals,1998,0.4472049689440994,N
dodgers,1998,0.5123456790123457,N
brewers,1998,0.4567901234567901,N
twins,1998,0.43209876543209874,N
yankees,1998,0.7037037037037037,Y
mets,1998,0.5432098765432098,N
athletics,1998,0.4567901234567901,N
phillies,1998,0.46296296296296297,N
pirates,1998,0.4233128834355828,N
padres,1998,0.6049382716049383,N
mariners,1998,0.4720496894409938,N
giants,1998,0.5460122699386503,N
cardinals,1998,0.50920245398773,N
rangers,1998,0.5432098765432098,N
blue_jays,1998,0.5398773006134969,N
angels,1999,0.43209876543209874,N
diamondbacks,1999,0.6172839506172839,N
braves,1999,0.6358024691358025,N
orioles,1999,0.48148148148148145,N
red_sox,1999,0.5802469135802469,N
white_sox,1999,0.46296296296296297,N
cubs,1999,0.41358024691358025,N
reds,1999,0.588957055214724,N
indians,1999,0.5987654320987654,N
rockies,1999,0.4444444444444444,N
tigers,1999,0.42857142857142855,N
marlins,1999,0.3950617283950617,N
astros,1999,0.5987654320987654,N
royals,1999,0.39751552795031053,N
dodgers,1999,0.47530864197530864,N
brewers,1999,0.45962732919254656,N
twins,1999,0.391304347826087,N
yankees,1999,0.6049382716049383,Y
mets,1999,0.5950920245398773,N
athletics,1999,0.5370370370370371,N
phillies,1999,0.47530864197530864,N
pirates,1999,0.484472049689441,N
padres,1999,0.4567901234567901,N
mariners,1999,0.4876543209876543,N
giants,1999,0.5308641975308642,N
cardinals,1999,0.4658385093167702,N
rangers,1999,0.5864197530864198,N
blue_jays,1999,0.5185185185185185,N
angels,2000,0.5061728395061729,N
diamondbacks,2000,0.5246913580246914,N
braves,2000,0.5864197530864198,N
orioles,2000,0.4567901234567901,N
red_sox,2000,0.5246913580246914,N
white_sox,2000,0.5864197530864198,N
cubs,2000,0.4012345679012346,N
reds,2000,0.5214723926380368,N
indians,2000,0.5555555555555556,N
rockies,2000,0.5061728395061729,N
tigers,2000,0.4876543209876543,N
marlins,2000,0.4906832298136646,N
astros,2000,0.4444444444444444,N
royals,2000,0.47530864197530864,N
dodgers,2000,0.5308641975308642,N
brewers,2000,0.44785276073619634,N
twins,2000,0.42592592592592593,N
yankees,2000,0.5403726708074534,Y
mets,2000,0.5802469135802469,N
athletics,2000,0.5652173913043478,N
phillies,2000,0.4012345679012346,N
pirates,2000,0.42592592592592593,N
padres,2000,0.4691358024691358,N
mariners,2000,0.5617283950617284,N
giants,2000,0.5987654320987654,N
cardinals,2000,0.5864197530864198,N
rangers,2000,0.4382716049382716,N
blue_jays,2000,0.5123456790123457,N
angels,2001,0.46296296296296297,N
diamondbacks,2001,0.5679012345679012,Y
braves,2001,0.5432098765432098,N
orioles,2001,0.3888888888888889,N
red_sox,2001,0.5093167701863354,N
white_sox,2001,0.5123456790123457,N
cubs,2001,0.5432098765432098,N
reds,2001,0.4074074074074074,N
indians,2001,0.5617283950617284,N
rockies,2001,0.4506172839506173,N
tigers,2001,0.4074074074074074,N
marlins,2001,0.4691358024691358,N
astros,2001,0.5740740740740741,N
royals,2001,0.4012345679012346,N
dodgers,2001,0.5308641975308642,N
brewers,2001,0.41975308641975306,N
twins,2001,0.5246913580246914,N
yankees,2001,0.5900621118012422,N
mets,2001,0.5061728395061729,N
athletics,2001,0.6296296296296297,N
phillies,2001,0.5308641975308642,N
pirates,2001,0.38271604938271603,N
padres,2001,0.4876543209876543,N
mariners,2001,0.7160493827160493,N
giants,2001,0.5555555555555556,N
cardinals,2001,0.5740740740740741,N
rangers,2001,0.4506172839506173,N
blue_jays,2001,0.49382716049382713,N
angels,2002,0.6111111111111112,Y
diamondbacks,2002,0.6049382716049383,N
braves,2002,0.6273291925465838,N
orioles,2002,0.41358024691358025,N
red_sox,2002,0.5740740740740741,N
white_sox,2002,0.5,N
cubs,2002,0.41358024691358025,N
reds,2002,0.48148148148148145,N
indians,2002,0.4567901234567901,N
rockies,2002,0.4506172839506173,N
tigers,2002,0.3416149068322981,N
marlins,2002,0.4876543209876543,N
astros,2002,0.5185185185185185,N
royals,2002,0.38271604938271603,N
dodgers,2002,0.5679012345679012,N
brewers,2002,0.345679012345679,N
twins,2002,0.5838509316770186,N
yankees,2002,0.639751552795031,N
mets,2002,0.4658385093167702,N
athletics,2002,0.6358024691358025,N
phillies,2002,0.4968944099378882,N
pirates,2002,0.4472049689440994,N
padres,2002,0.4074074074074074,N
mariners,2002,0.5740740740740741,N
giants,2002,0.5864197530864198,N
cardinals,2002,0.5987654320987654,N
rangers,2002,0.4444444444444444,N
blue_jays,2002,0.48148148148148145,N
angels,2003,0.47530864197530864,N
diamondbacks,2003,0.5185185185185185,N
braves,2003,0.6234567901234568,N
orioles,2003,0.43558282208588955,N
red_sox,2003,0.5864197530864198,N
white_sox,2003,0.5308641975308642,N
cubs,2003,0.5432098765432098,N
reds,2003,0.42592592592592593,N
indians,2003,0.41975308641975306,N
rockies,2003,0.4567901234567901,N
tigers,2003,0.2654320987654321,N
marlins,2003,0.5617283950617284,Y
astros,2003,0.5370370370370371,N
royals,2003,0.5123456790123457,N
dodgers,2003,0.5246913580246914,N
brewers,2003,0.41975308641975306,N
twins,2003,0.5555555555555556,N
yankees,2003,0.6196319018404908,N
mets,2003,0.40993788819875776,N
athletics,2003,0.5925925925925926,N
phillies,2003,0.5308641975308642,N
pirates,2003,0.46296296296296297,N
padres,2003,0.3950617283950617,N
mariners,2003,0.5740740740740741,N
giants,2003,0.6211180124223602,N
cardinals,2003,0.5246913580246914,N
rangers,2003,0.4382716049382716,N
blue_jays,2003,0.5308641975308642,N
angels,2004,0.5679012345679012,N
diamondbacks,2004,0.3148148148148148,N
braves,2004,0.5925925925925926,N
orioles,2004,0.48148148148148145,N
red_sox,2004,0.6049382716049383,Y
white_sox,2004,0.5123456790123457,N
cubs,2004,0.5493827160493827,N
reds,2004,0.4691358024691358,N
indians,2004,0.49382716049382713,N
rockies,2004,0.41975308641975306,N
tigers,2004,0.4444444444444444,N
marlins,2004,0.5123456790123457,N
astros,2004,0.5679012345679012,N
royals,2004,0.35802469135802467,N
dodgers,2004,0.5740740740740741,N
brewers,2004,0.4161490683229814,N
twins,2004,0.5679012345679012,N
yankees,2004,0.6234567901234568,N
mets,2004,0.4382716049382716,N
athletics,2004,0.5617283950617284,N
phillies,2004,0.5308641975308642,N
pirates,2004,0.4472049689440994,N
padres,2004,0.5370370370370371,N
mariners,2004,0.3888888888888889,N
giants,2004,0.5617283950617284,N
cardinals,2004,0.6481481481481481,N
rangers,2004,0.5493827160493827,N
blue_jays,2004,0.4161490683229814,N
diamondbacks,2005,0.47530864197530864,N
braves,2005,0.5555555555555556,N
orioles,2005,0.4567901234567901,N
red_sox,2005,0.5864197530864198,N
white_sox,2005,0.6111111111111112,Y
cubs,2005,0.4876543209876543,N
reds,2005,0.44785276073619634,N
indians,2005,0.5740740740740741,N
rockies,2005,0.41358024691358025,N
tigers,2005,0.4382716049382716,N
marlins,2005,0.5123456790123457,N
astros,2005,0.5460122699386503,N
royals,2005,0.345679012345679,N
angels,2005,0.5864197530864198,N
dodgers,2005,0.4382716049382716,N
brewers,2005,0.5,N
twins,2005,0.5123456790123457,N
yankees,2005,0.5864197530864198,N
mets,2005,0.5123456790123457,N
athletics,2005,0.5432098765432098,N
